Radimov;454;246;54,18;246;245
Radosovce;1 456;866;59,47;866;860
Skalica;12 717;6 377;50,14;6 364;6 322
Trnovec;243;155;63,78;155;155
Unin;998;569;57,01;569;567
Vradiste;654;370;56,57;369;368
Bojnicky;1 182;568;48,05;566;562
Cervenik;1 343;754;56,14;754;745
Dolne Otrokovce;307;146;47,55;146;144
Dolne Trhoviste;521;270;51,82;270;270
Dolne Zelenice;479;293;61,16;293;293
Dvorniky;1 634;729;44,61;729;729
Hlohovec;17 577;8 929;50,79;8 922;8 854
Horne Otrokovce;728;390;53,57;389;387
Horne Trhoviste;481;235;48,85;235;232
Horne Zelenice;552;257;46,55;257;257
Jalsove;414;204;49,27;204;200
Klacany;890;432;48,53;432;432
Koplotovce;599;345;57,59;345;343
Leopoldov;3 526;1 952;55,36;1 952;1 944
Madunice;1 795;989;55,09;989;985
Merasice;356;186;52,24;186;185
Pastuchov;769;363;47,2;363;361
Ratkovce;269;172;63,94;172;169
Sasinkovo;719;289;40,19;289;287
Siladice;593;302;50,92;302;300
Tekoldany;122;68;55,73;68;67
Teplicky;253;123;48,61;123;123
Trakovice;1 256;747;59,47;747;737
Zlkovce;543;311;57,27;311;310
Biely Kostol;1 681;967;57,52;967;958
Binovce;549;310;56,46;310;308
Bohdanovce nad Trnavou;1 144;688;60,13;688;685
Boleraz;1 874;974;51,97;974;972
Borova;363;198;54,54;198;197
Brestovany;2 104;1 076;51,14;1 074;1 061
Bucany;1 906;1 030;54,03;1 030;1 028
Bukova;566;318;56,18;318;315
Cifer;3 571;1 999;55,97;1 997;1 971
Dechtice;1 521;904;59,43;904;901
Dlha;355;188;52,95;188;187
Dobra Voda;700;442;63,14;442;441
Dolna Krupa;1 928;1 030;53,42;1 030;1 025
Dolne Dubove;589;356;60,44;356;354
Dolne Lovcice;634;377;59,46;377;375
Dolne Oresany;1 082;635;58,68;635;631
Horna Krupa;425;223;52,47;223;220
Horne Dubove;318;186;58,49;186;186
Horne Oresany;1 577;865;54,85;865;860
Hrnciarovce nad Parnou;2 310;1 509;65,32;1 507;1 496
Jaslovske Bohunice;1 814;1 051;57,93;1 051;1 048
Katlovce;920;566;61,52;566;561
Kosolna;658;378;57,44;378;378
Krizovany nad Dudvahom;1 483;796;53,67;796;794
Losonec;473;241;50,95;241;239
Majcichov;1 727;934;54,08;933;928
Malzenice;1 217;681;55,95;681;673
Nahac;359;189;52,64;189;189
Opoj;939;531;56,54;531;531
Pavlice;451;273;60,53;273;269
Radosovce;326;196;60,12;196;193
Ruzindol;1 278;736;57,58;736;735
Slovenska Nova Ves;430;257;59,76;257;256
Smolenice;2 719;1 666;61,27;1 666;1 663
Sucha nad Parnou;1 735;1 031;59,42;1 031;1 026
Selpice;725;385;53,1;385;382
Spacince;2 307;1 441;62,46;1 441;1 430
Surovce;1 902;1 030;54,15;1 030;1 023
Trnava;53 227;28 001;52,6;27 984;27 855
Trstin;1 176;640;54,42;640;633
Vlckovce;1 114;631;56,64;631;628
Voderady;1 174;650;55,36;650;649
Zavar;1 695;858;50,61;858;857
Zelenec;2 205;1 205;54,64;1 205;1 197
Zvoncin;674;391;58,01;391;390
Banovce nad Bebravou;14 890;7 518;50,49;7 514;7 474
Borcany;204;102;50;102;101
Brezolupy;406;230;56,65;230;228
Cimenna;77;54;70,12;54;54
Cierna Lehota;119;68;57,14;68;65
Dezerice;725;428;59,03;428;427
Dolne Nastice;453;259;57,17;259;259
Dubnicka;107;77;71,96;77;77
Dvorec;354;204;57,62;204;204
Halacovce;267;157;58,8;157;156
Horne Nastice;373;236;63,27;236;233
Chuda Lehota;183;116;63,38;116;116
Krasna Ves;427;232;54,33;232;231
Ksinna;415;220;53,01;220;219
Libichava;120;65;54,16;65;65
Lutov;136;87;63,97;87;87
Mala Hradna;322;210;65,21;210;210
Male Hoste;343;175;51,02;175;174
Miezgovce;229;153;66,81;153;153
Nedasovce;366;210;57,37;210;208
Omastina;39;20;51,28;20;20
Otrhanky;336;226;67,26;226;224
Pecenany;421;227;53,91;227;227
Podluzany;725;392;54,06;392;390
Pochabany;203;115;56,65;115;114
Pravotice;260;156;60;156;156
Prusy;502;292;58,16;292;292
Ruskovce;447;283;63,31;283;281
Rybany;1 229;620;50,44;620;616
Slatina nad Bebravou;343;199;58,01;199;197
Slatinka nad Bebravou;166;97;58,43;97;97
Sipkov;129;64;49,61;64;64
Sisov;420;190;45,23;190;189
Timoradza;430;249;57,9;249;248
Trebichava;43;32;74,41;32;32
Uhrovec;1 291;742;57,47;742;739
Uhrovske Podhradie;38;32;84,21;32;32
Velke Drzkovce;546;326;59,7;326;326
Velke Hoste;478;250;52,3;250;250
Velke Chlievany;396;217;54,79;217;217
Vysocany;97;60;61,85;60;59
Zlatniky;567;299;52,73;299;299
Zitna - Radisa;380;211;55,52;211;209
Brestovec;806;419;51,98;419;415
Brezova pod Bradlom;4 247;2 083;49,04;2 083;2 071
Bukovec;361;208;57,61;208;206
Hrasne;429;204;47,55;204;204
Chvojnica;306;175;57,18;175;175
Jablonka;428;245;57,24;245;245
Kostolne;493;248;50,3;248;248
Kosariska;375;239;63,73;239;239
Krajne;1 242;623;50,16;623;619
Myjava;9 587;4 823;50,3;4 823;4 791
Podkylava;203;119;58,62;119;119
Polianka;336;173;51,48;173;171
Poriadie;597;319;53,43;319;316
Priepasne;314;162;51,59;162;160
Rudnik;662;353;53,32;353;348
Stara Myjava;659;413;62,67;413;412
Vrbovce;1 233;592;48,01;592;584
Beckov;1 170;702;60;702;696
Bosaca;1 119;666;59,51;666;655
Brunovce;484;269;55,57;269;268
Bzince pod Javorinou;1 754;967;55,13;967;965
Cachtice;3 006;1 521;50,59;1 520;1 512
Castkovce;1 238;698;56,38;698;695
Dolne Srnie;799;467;58,44;467;465
Haluzice;70;45;64,28;45;45
Horna Streda;1 134;631;55,64;631;623
Horka nad Vahom;622;344;55,3;343;343
Hradok;568;317;55,8;317;314
Hrachoviste;557;287;51,52;287;287
Kalnica;854;469;54,91;469;465
Kocovce;1 267;751;59,27;751;751
Lubina;1 223;640;52,33;640;639
Luka;570;332;58,24;332;331
Modrova;411;249;60,58;249;246
Modrovka;174;92;52,87;92;91
Moravske Lieskove;2 127;1 145;53,83;1 145;1 123
Nova Bosaca;923;518;56,12;518;512
Nova Lehota;207;120;57,97;120;118
Nova Ves nad Vahom;451;250;55,43;250;249
Nove Mesto nad Vahom;16 216;8 631;53,22;8 630;8 589
Ockov;383;204;53,26;204;203
Pobedim;955;462;48,37;462;461
Podolie;1 575;808;51,3;808;804
Potvorice;526;295;56,08;295;294
Povazany;1 064;530;49,81;530;527
Stara Lehota;177;101;57,06;101;99
Stara Tura;7 590;4 143;54,58;4 143;4 103
Trencianske Bohuslavice;786;464;59,03;464;464
Vadovce;596;297;49,83;297;290
Visnove;144;76;52,77;76;76
Zemianske Podhradie;625;311;49,76;311;307
Bodina;412;206;50;206;206
Brvniste;1 026;533;51,94;533;523
Celkova Lehota;114;82;71,92;82;79
Dolna Marikova;1 167;637;54,58;636;630
Dolny Lieskov;663;313;47,2;313;313
Domaniza;1 317;715;54,29;715;714
Durdove;132;71;53,78;71;71
Hatne;512;271;52,92;271;270
Horna Marikova;527;247;46,86;247;245
Horny Lieskov;340;194;57,05;194;193
Jasenica;927;577;62,24;577;571
